71156	自由履修科目	コーヒーと社会１	火3	中村　裕之	全学生
7481a.001	言語科目Ａ	ラテン語Ａ１－１	水5	RUNNER JACOB WAYNE	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の1年優先、次いでこれらの学類の共通教育科目に係る卒業要件未充足の2年以上優先）
7481e.001	言語科目Ａ	ラテン語Ａ３－１	月5	寺嶋　雅彦	2年以上限定（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足優先）
7481i.001	言語科目Ａ	ラテン語基礎１	水5	RUNNER JACOB WAYNE	全学生（先導、観光、人文、法、経済、地域、国際、総合（文）の1年優先、次いでこれらの学類の共通教育科目に係る卒業要件未充足の2年以上優先）
7481m.001	言語科目Ａ	ラテン語実践基礎１	月5	寺嶋　雅彦	2年以上限定（先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足優先）
7482a.001	言語科目Ｂ	ラテン語Ｂ－１	月5	RUNNER JACOB WAYNE	3年以上限定
7482c.001	言語科目Ｂ	ラテン語展開Ⅰ	月5	RUNNER JACOB WAYNE	3年以上限定
7485a.B01	言語科目Ａ	スペイン語Ａ１－１	火2	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485a.B02	言語科目Ａ	スペイン語Ａ１－１	火2	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485a.D01	言語科目Ａ	スペイン語Ａ１－１	火3	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485a.D02	言語科目Ａ	スペイン語Ａ１－１	火3	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485c.B01	言語科目Ａ	スペイン語Ａ２－１	木4	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485c.B02	言語科目Ａ	スペイン語Ａ２－１	木4	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485c.D01	言語科目Ａ	スペイン語Ａ２－１	木3	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485c.D02	言語科目Ａ	スペイン語Ａ２－１	木3	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485i.B01	言語科目Ａ	スペイン語基礎１	火2	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485i.B02	言語科目Ａ	スペイン語基礎１	火2	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485i.D01	言語科目Ａ	スペイン語基礎１	火3	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485i.D02	言語科目Ａ	スペイン語基礎１	火3	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485m.B01	言語科目Ａ	スペイン語実践基礎１	木4	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485m.B02	言語科目Ａ	スペイン語実践基礎１	木4	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485m.D01	言語科目Ａ	スペイン語実践基礎１	木3	雄谷　ソニア　啓子	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485m.D02	言語科目Ａ	スペイン語実践基礎１	木3	TORRA REVENTOS MARIA DE LA MERCE	先導、観光、人文、法、経済、地域、国際、総合（文）の共通教育科目に係る卒業要件未充足の2年以上優先
7485q.A	言語科目Ａ	スペイン語基礎・実践基礎（抽選用）	火2,木4	未定	1年人文、法、国際限定
7485q.C	言語科目Ａ	スペイン語基礎・実践基礎（抽選用）	火3,木3	未定	1年先導、観光、経済、地域、総合（文）限定
7486a.001	言語科目Ｂ	スペイン語Ｂ－１	月5	雄谷　ソニア　啓子	2年以上限定
7486a.002	言語科目Ｂ	スペイン語Ｂ－１	水5	雄谷　ソニア　啓子	2年以上限定
7486c.001	言語科目Ｂ	スペイン語展開Ⅰ	月5	雄谷　ソニア　啓子	2年以上限定
7486c.002	言語科目Ｂ	スペイン語展開Ⅰ	水5	雄谷　ソニア　啓子	2年以上限定
7491a.001	言語科目Ａ	日本語Ａ１－１	月1	星　摩美	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
7491b.001	言語科目Ａ	日本語Ａ１－２	火1	山中　里紗	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
7491e.001	言語科目Ａ	日本語Ａ３－１	水1	未定	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
7491f.001	言語科目Ａ	日本語Ａ３－２	金1	川島　ゆえ	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
7491i.001	言語科目Ａ	日本語基礎１	月1	星　摩美	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
7491j.001	言語科目Ａ	日本語基礎２	火1	山中　里紗	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
7491k.001	言語科目Ａ	日本語基礎３	水1	未定	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
7491l.001	言語科目Ａ	日本語基礎４	金1	川島　ゆえ	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74922.011	ＧＳ言語科目	アカデミック基礎日本語A	月5	深川　美帆	日本語を母語としない外国人留学生限定
74928.071	ＧＳ言語科目	講義の聴解A	火1	太田　亨	日本語を母語としない外国人留学生限定
74934.111	ＧＳ言語科目	上級読解ⅠA	金2	小島　莊一	日本語を母語としない外国人留学生限定
74938.133	ＧＳ言語科目	日本語で学ぶ論理A	火4	太田　亨	日本語を母語としない外国人留学生限定
74942.031	ＧＳ言語科目	アカデミック・ライティングA	月1	小島　莊一	日本語を母語としない外国人留学生限定
74946.001	ＧＳ言語科目	初中級会話Ａ	水2,金2	笹原　幸子	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74956.001	ＧＳ言語科目	初級２－１A	月1	苗田　敏美	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74957.001	ＧＳ言語科目	初級２－２A	火1	未定	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74958.001	ＧＳ言語科目	初級２－３A	水1	苗田　敏美	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74959.001	ＧＳ言語科目	初級２－４A	金1	山中　里紗	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74964.001	ＧＳ言語科目	中級聴解A	火1	鶴町　佳子	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74966.001	ＧＳ言語科目	中上級聴解A	金1	小島　莊一	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74968.001	ＧＳ言語科目	速読A	月1	太田　亨	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74970.001	ＧＳ言語科目	中級作文A	木2	深川　美帆	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74972.001	ＧＳ言語科目	中上級作文A	月2	星　摩美	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74978.001	ＧＳ言語科目	漢字・語彙１A	木2	山中　里紗	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74980.001	ＧＳ言語科目	漢字・語彙２A	木2	田中　由紀子	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生限定
74982.001	ＧＳ言語科目	漢字・語彙３A	木1	山中　里紗	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74984.001	ＧＳ言語科目	漢字・語彙４A	木1	河内　由紀子	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74986.001	ＧＳ言語科目	漢字・語彙５A	木2	河内　由紀子	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74990.001	ＧＳ言語科目	中級会話Ａ	水2	鶴町　佳子	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74992.001	ＧＳ言語科目	中上級会話Ａ	水2	岡本　さや子	融合学域・国際学類で日本語能力を要件としない入学者選抜試験により入学した外国人留学生および融合学域の３年次編入学生で日本語能力がN2レベルの外国人留学生限定
74A01.101	ＧＳ科目	地域社会と文化人類学	火2	大澤　隆将	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74A01.102	ＧＳ科目	地域社会と文化人類学	水5	大澤　隆将	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74A01.103	ＧＳ科目	地域社会と文化人類学（英語クラス）	木2	大澤　隆将	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74A01.104	ＧＳ科目	地域社会と文化人類学	金5	大澤　隆将	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74B00a.101	ＧＳ科目	日本史・日本文化	火2	小林　信介	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74C00a.101	ＧＳ科目	異文化間コミュニケーション	月2	小林　恵美子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74C00a.102	ＧＳ科目	異文化間コミュニケーション	月3	小林　恵美子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74C00a.103	ＧＳ科目	異文化間コミュニケーション	月5	小林　恵美子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74C00a.104	ＧＳ科目	異文化間コミュニケーション	火2	小林　恵美子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74C00a.105	ＧＳ科目	異文化間コミュニケーション	水4	岸田　由美	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74E01.101	ＧＳ科目	グローバル時代の国際協力（英語クラス）	火1	渡辺　敦子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74E01.102	ＧＳ科目	グローバル時代の国際協力	火3	渡辺　敦子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74E01.103	ＧＳ科目	グローバル時代の国際協力	木2	渡辺　敦子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74E01.104	ＧＳ科目	グローバル時代の国際協力	木4	渡辺　敦子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74F00a.101	ＧＳ科目	グローバル社会と地域の課題	水4	井出　明	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74F00a.102	ＧＳ科目	グローバル社会と地域の課題	木3	井出　明	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74F00a.103	ＧＳ科目	グローバル社会と地域の課題	木4	井出　明	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
74F00a.104	ＧＳ科目	グローバル社会と地域の課題（英語クラス）	水5	井出　明	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75A10a.101	ＧＳ科目	科学技術と科学方法論	火2	垣内　康孝	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75A10a.102	ＧＳ科目	科学技術と科学方法論	水3	垣内　康孝	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75A10a.103	ＧＳ科目	科学技術と科学方法論	木4	垣内　康孝	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75B10a.101	ＧＳ科目	統計学から未来を見る（英語クラス）	水3	松浦　義昭	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75B10a.102	ＧＳ科目	統計学から未来を見る（英語クラス）	水4	松浦　義昭	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75B10a.103	ＧＳ科目	統計学から未来を見る（英語クラス）	木1	松浦　義昭	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75B10a.104	ＧＳ科目	統計学から未来を見る（英語クラス）	木2	松浦　義昭	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75D20a.101	ＧＳ科目	環境学とＥＳＤ	火4	河内　幾帆	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75D20a.102	ＧＳ科目	環境学とＥＳＤ	水3	河内　幾帆	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75D20a.103	ＧＳ科目	環境学とＥＳＤ	月2	花本　征也	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75E20a.101	ＧＳ科目	生活と社会保障	木1	森山　治	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75E20a.102	ＧＳ科目	生活と社会保障	木2	森山　治	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75E20a.103	ＧＳ科目	生活と社会保障	水5	村上　慎司	全学生（地域創造学類1年及び共通教育科目に係る卒業要件未充足の2年以上優先）
75E20a.104	ＧＳ科目	生活と社会保障	火3	陳  萍	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75E20a.105	ＧＳ科目	生活と社会保障	火4	陳  萍	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75E20a.106	ＧＳ科目	生活と社会保障	火5	陳  萍	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75F21.101	ＧＳ科目	現代社会と人権	火2	飯田　玲子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75F21.102	ＧＳ科目	現代社会と人権	火3	飯田　玲子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75F21.103	ＧＳ科目	現代社会と人権	水2	飯田　玲子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75F21.104	ＧＳ科目	現代社会と人権	木2	飯田　玲子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
75F21.105	ＧＳ科目	現代社会と人権	木5	飯田　玲子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76201.01	自由履修科目	ゼミ／漢文史料読解Ａ	金5	古畑　徹	全学生（2019年度以前入学者履修登録用）
76A10a.101	ＧＳ科目	インテグレーテッド科学（物理の世界）	木2	藤間　崇	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76A10a.102	ＧＳ科目	インテグレーテッド科学（物理の世界）	金2	藤間　崇	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76A10b.101	ＧＳ科目	インテグレーテッド科学（化学の世界）	月2	前多　肇	全学生（1年及び共通教育科目に係る卒業要件未充足の2年以上優先）
76A10b.102	ＧＳ科目	インテグレーテッド科学（化学の世界）	火1	三橋　了爾	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76A10b.103	ＧＳ科目	インテグレーテッド科学（化学の世界）	火3	三橋　了爾	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76B10.101	ＧＳ科目	AI入門	月1	八柳　祐一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76B10.102	ＧＳ科目	AI入門	月3	八柳　祐一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76B10.103	ＧＳ科目	AI入門	火1	八柳　祐一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76B10.104	ＧＳ科目	AI入門	火3	八柳　祐一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.101	ＧＳ科目	情報の科学	火3	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.102	ＧＳ科目	情報の科学	火4	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.103	ＧＳ科目	情報の科学	金3	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76C10.104	ＧＳ科目	情報の科学	金4	WENG WEI	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76D10.101	ＧＳ科目	デザイン思考入門	火2	秋田　純一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76D10.102	ＧＳ科目	デザイン思考入門	月3	林　透	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76D10.103	ＧＳ科目	デザイン思考入門	木5	山下　貴弘	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76E10a.101	ＧＳ科目	論理学と数学の基礎（論理学から見る世界）	火3	黒川　英徳	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76E10a.102	ＧＳ科目	論理学と数学の基礎（論理学から見る世界）	火5	黒川　英徳	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
76E10b.101	ＧＳ科目	論理学と数学の基礎（数学的発想法）	木4	川越　謙一	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
77619	自由履修科目	AIと社会情動学習（SEL）	水3	堤　敦朗	全学生
77621.01	自由履修科目	英語学術リテラシー科目(Presentation)	火3	RUNNER JACOB WAYNE	全学生（2023年度以前入学者）
77622.01	自由履修科目	英語学術リテラシー科目(Interaction)	火5	大藪　加奈	全学生（2023年度以前入学者）
77623.01	自由履修科目	英語学術リテラシー科目(English for STEM)	木4	山村　公恵	全学生（2023年度以前入学者）
77624.01	自由履修科目	英語学術リテラシー科目(Science and Society)	月5	EBNOU MALAININE	全学生（2023年度以前入学者）
77625.01	自由履修科目	英語学術リテラシー科目(Reading and Discussion)	水3	BROWN DALE COLIN	全学生（2023年度以前入学者）
77627	自由履修科目	『生と死の倫理』について	水4	小田桐　拓志	全学生
77630	自由履修科目	考古学実習１	金3〜4	足立　拓朗	全学生
77634	自由履修科目	考古学実習A	金3〜4	足立　拓朗	全学生
