時間割番号,科目区分,時間割名,曜日時限,教員名,対象学生,適正人数,全登録数,優先指定,第１希望,第２希望,第３希望,第４希望,第５希望
70194.01,自由履修科目,実践アントレプレナー学,集中,長井　圭治,全学生,50,23,5,23,0,0,0,0
71A10a.324,ＧＳ科目,現代世界への歴史学的アプローチ（英語クラス）,火4,小髙　敬寛,全学生（総合教育部学生優先）,55,4,0,3,1,0,0,0
71A10a.325,ＧＳ科目,現代世界への歴史学的アプローチ（英語クラス）,火5,小髙　敬寛,全学生（総合教育部学生優先）,55,2,0,1,1,0,0,0
71A10a.332,ＧＳ科目,現代世界への歴史学的アプローチ,水2,小髙　敬寛,全学生（総合教育部学生優先）,55,136,27,91,39,5,1,0
71A10a.334,ＧＳ科目,現代世界への歴史学的アプローチ,水4,小髙　敬寛,全学生（総合教育部学生優先）,55,109,7,64,39,6,0,0
71A10a.335,ＧＳ科目,現代世界への歴史学的アプローチ,水5,小髙　敬寛,全学生（総合教育部学生優先）,55,25,0,13,7,5,0,0
76E10a.334,ＧＳ科目,論理学と数学の基礎（論理学から見る世界）,水4,黒川　英徳,全学生（総合教育部学生優先）,70,197,82,164,31,2,0,0
76E10a.335,ＧＳ科目,論理学と数学の基礎（論理学から見る世界）,水5,黒川　英徳,全学生（総合教育部学生優先）,70,100,22,75,24,1,0,0
76E10a.344,ＧＳ科目,論理学と数学の基礎（論理学から見る世界）（英語クラス）,木4,黒川　英徳,全学生（総合教育部学生優先）,70,15,1,7,7,1,0,0
76E10b.333,ＧＳ科目,論理学と数学の基礎（数学的発想法）,水3,永野　中行,全学生（総合教育部学生優先）,70,189,82,111,67,6,4,1
76E10b.33a,ＧＳ科目,論理学と数学の基礎（数学的発想法）,水3,長谷川　和志,全学生（総合教育部学生優先）,70,166,85,120,36,9,0,1
76E10b.342,ＧＳ科目,論理学と数学の基礎（数学的発想法）,木2,大浦　学,全学生（総合教育部学生優先）,70,173,86,125,35,12,1,0