70194.01,自由履修科目,実践アントレプレナー学,集中,長井　圭治,全学生,50,5,3,5,0,0,0,0
71487,自由履修科目,心と体の健康A,金2,吉川　弘明,全学生,40,18,1,16,2,0,0,0
71A10a.324,ＧＳ科目,現代世界への歴史学的アプローチ（英語クラス）,火4,小髙　敬寛,全学生（総合教育部学生優先）,55,1,0,0,0,1,0,0
71A10a.325,ＧＳ科目,現代世界への歴史学的アプローチ（英語クラス）,火5,小髙　敬寛,全学生（総合教育部学生優先）,55,2,0,1,1,0,0,0
71A10a.332,ＧＳ科目,現代世界への歴史学的アプローチ,水2,小髙　敬寛,全学生（総合教育部学生優先）,55,53,4,40,12,1,0,0
71A10a.334,ＧＳ科目,現代世界への歴史学的アプローチ,水4,小髙　敬寛,全学生（総合教育部学生優先）,55,17,1,9,6,2,0,0
71A10a.335,ＧＳ科目,現代世界への歴史学的アプローチ,水5,小髙　敬寛,全学生（総合教育部学生優先）,55,6,0,4,1,1,0,0
71B10a.312,ＧＳ科目,グローバル時代の政治経済学（英語クラス）,月2,佐々木　葉月,全学生（総合教育部学生優先）,25,15,0,11,2,1,1,0
71B10a.314,ＧＳ科目,グローバル時代の政治経済学,月4,佐々木　葉月,全学生（総合教育部学生優先）,75,99,9,64,25,8,2,0
71B10a.322,ＧＳ科目,グローバル時代の政治経済学,火2,佐々木　葉月,全学生（総合教育部学生優先）,75,63,11,41,14,7,1,0
71B10a.342,ＧＳ科目,グローバル時代の政治経済学（英語クラス）,木2,佐々木　葉月,全学生（総合教育部学生優先）,25,16,0,8,7,1,0,0
71B10a.344,ＧＳ科目,グローバル時代の政治経済学,木4,佐々木　葉月,全学生（総合教育部学生優先）,75,92,8,71,16,5,0,0
71C10a.322,ＧＳ科目,グローバル時代の社会学,火2,眞住　優助,全学生（総合教育部学生優先）,64,38,8,27,10,1,0,0
71C10a.325,ＧＳ科目,グローバル時代の社会学（英語クラス）,火5,眞住　優助,全学生（総合教育部学生優先）（英語のみで受講可能な学生限定）,10,1,0,0,1,0,0,0
71C10a.333,ＧＳ科目,グローバル時代の社会学,水3,眞住　優助,全学生（総合教育部学生優先）,64,81,12,62,17,2,0,0
71C10a.342,ＧＳ科目,グローバル時代の社会学,木2,渡辺　達雄,全学生（総合教育部学生優先）,95,81,11,56,17,7,0,1
71C10a.344,ＧＳ科目,グローバル時代の社会学,木4,渡辺　達雄,全学生（総合教育部学生優先）,95,57,7,30,21,3,2,1
71D10a.325,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,火5,小田桐　拓志,全学生（総合教育部学生優先）,97,3,0,2,1,0,0,0
71D10a.335,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,水5,小田桐　拓志,全学生（総合教育部学生優先）,97,3,0,2,1,0,0,0
71D10a.343,ＧＳ科目,ケーススタディによる応用倫理学,木3,佐々木　拓,全学生（総合教育部学生優先）,60,102,12,86,13,2,1,0
71D10a.354,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,金4,小田桐　拓志,全学生（総合教育部学生優先）,97,7,0,4,2,1,0,0
71D10a.355,ＧＳ科目,ケーススタディによる応用倫理学（英語クラス）,金5,小田桐　拓志,全学生（総合教育部学生優先）,97,2,0,1,0,1,0,0
71E20a.314,ＧＳ科目,地球生物圏と人間,月4,佐藤　圭,全学生（総合教育部学生優先）,99,112,16,78,24,9,1,0
71E20a.324,ＧＳ科目,地球生物圏と人間,火4,佐藤　圭,全学生（総合教育部学生優先）,99,89,12,69,17,2,1,0
71E20a.334,ＧＳ科目,地球生物圏と人間（英語クラス）,水4,佐藤　圭,全学生（総合教育部学生優先）,99,10,1,9,0,1,0,0
72286,自由履修科目,ゼミ／漢文史料読解Ｂ１,金5,古畑　徹,全学生（2020年度以降入学者履修登録用）,30,1,0,1,0,0,0,0
72291,自由履修科目,地域創造学特別講義C,火3,田邊　浩,全学生（地域創造学類以外）（2021年度以前入学者履修登録用）,200,6,0,4,1,1,0,0
72501.03,自由履修科目,日本国憲法概説,水5,佃　貴弘,法学類の1年次以外限定,250,42,2,40,0,2,0,0
72501.04,自由履修科目,日本国憲法概説,水2〜3,山崎　友也,法学類の1年次以外限定,80,20,6,17,1,2,0,0
72595.01,自由履修科目,東洋史要説,火5,古畑　徹,４年次以上限定（2019年度以前入学者履修登録用）,70,0,0,0,0,0,0,0
72A10a.331,ＧＳ科目,哲学（自我論）,水1,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,99,63,9,55,8,0,0,0
72A10a.333,ＧＳ科目,哲学（自我論）（英語クラス）,水3,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,50,3,2,3,0,0,0,0
72A10a.335,ＧＳ科目,哲学（自我論）,水5,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,99,39,0,30,7,2,0,0
72A10a.341,ＧＳ科目,哲学（自我論）,木1,GRUENEBERGPATRICK,全学生（総合教育部学生優先）,99,46,4,46,0,0,0,0
72B10a.313,ＧＳ科目,パーソナリティ心理学（英語クラス）,月3,菊谷　まり子,全学生（総合教育部学生優先）,30,8,0,6,1,1,0,0
72B10a.314,ＧＳ科目,パーソナリティ心理学,月4,岡田　努,全学生（総合教育部学生優先）,99,53,5,32,18,3,0,0
72B10a.323,ＧＳ科目,パーソナリティ心理学（英語クラス）,火3,菊谷　まり子,全学生（総合教育部学生優先）,30,2,0,1,1,0,0,0
72B10a.324,ＧＳ科目,パーソナリティ心理学,火4,菊谷　まり子,全学生（総合教育部学生優先）,85,27,1,14,10,3,0,0
72B10a.332,ＧＳ科目,パーソナリティ心理学,水2,荒木　友希子,全学生（総合教育部学生優先）,99,56,3,39,16,1,0,0
72C10a.315,ＧＳ科目,グローバル時代の文学,月5,上田　望,全学生（総合教育部学生優先）,50,19,1,10,9,0,0,0
72C10a.322,ＧＳ科目,グローバル時代の文学,火2,杉山　欣也,全学生（総合教育部学生優先）,50,23,1,17,4,1,1,0
72C10a.32a,ＧＳ科目,グローバル時代の文学（英語クラス）,火2,山口　善成,全学生（総合教育部学生優先）,50,0,0,0,0,0,0,0
72C10a.342,ＧＳ科目,グローバル時代の文学,木2,佐藤　文彦,全学生（総合教育部学生優先）,50,44,3,29,14,1,0,0
72C10a.353,ＧＳ科目,グローバル時代の文学,金3,佐藤　文彦,全学生（総合教育部学生優先）,50,42,1,29,13,0,0,0
72C10a.354,ＧＳ科目,グローバル時代の文学,金4,佐藤　文彦,全学生（総合教育部学生優先）,50,41,1,40,1,0,0,0
72D20a.323,ＧＳ科目,健康科学,火3,唐島　成宙,全学生（総合教育部学生優先）,50,62,10,49,11,2,0,0
72D20a.324,ＧＳ科目,健康科学,火4,唐島　成宙,全学生（総合教育部学生優先）,50,31,1,19,12,0,0,0
72D20a.331,ＧＳ科目,健康科学,水1,唐島　成宙,全学生（総合教育部学生優先）,50,35,2,19,9,7,0,0
72D20a.334,ＧＳ科目,健康科学,水4,林　研至,全学生（総合教育部学生優先）,50,52,3,36,15,1,0,0
72D20a.343,ＧＳ科目,健康科学,木3,唐島　成宙,全学生（総合教育部学生優先）,50,61,4,48,11,2,0,0
72D20a.344,ＧＳ科目,健康科学,木4,唐島　成宙,全学生（総合教育部学生優先）,50,37,5,21,12,0,3,1
72E20a.314,ＧＳ科目,細胞・分子生物学,月4,滝野　隆久,全学生（総合教育部学生優先）,99,16,1,9,3,4,0,0
72E20a.324,ＧＳ科目,細胞・分子生物学,火4,滝野　隆久,全学生（総合教育部学生優先）,99,21,2,16,3,2,0,0
72E20a.331,ＧＳ科目,細胞・分子生物学,水1,滝野　隆久,全学生（総合教育部学生優先）,99,23,1,18,5,0,0,0
72E20a.351,ＧＳ科目,細胞・分子生物学,金1,伊藤　正樹,理工学域優先,99,9,0,9,0,0,0,0
72E20a.352,ＧＳ科目,細胞・分子生物学（英語クラス）,金2,上野　将也,全学生（総合教育部学生優先）,50,9,2,6,2,1,0,0
72F0G.391,ＧＳ科目,エクササイズ&スポーツ実技ゴルフ,集中,村山　孝之,全学生（総合教育部学生優先）,20,12,4,12,0,0,0,0
72F0G.392,ＧＳ科目,エクササイズ&スポーツ実技ゴルフ,集中,井箟　敬,全学生（総合教育部学生優先）,20,4,1,4,0,0,0,0
72F0M.343,ＧＳ科目,エクササイズ&スポーツ実技バレーボール,木3,櫻井　貴志,3年生以上優先,42,12,1,12,0,0,0,0
72F0Pa.324,ＧＳ科目,エクササイズ&スポーツ実技サッカー,火4,増田　和実,全学生（総合教育部学生優先）,30,9,1,8,1,0,0,0
72F0Sa.342,ＧＳ科目,エクササイズ&スポーツ実技フィットネス＆ダンス,木2,髙木　香代子,全学生（総合教育部学生優先）,30,15,3,12,3,0,0,0
72F0ba.332,ＧＳ科目,エクササイズ&スポーツ実技ジョグ＆サーキット,水2,木村　岳裕,全学生（総合教育部学生優先）,25,4,0,3,1,0,0,0
72F0ha.324,ＧＳ科目,エクササイズ&スポーツ実技トレーニング（基礎）,火4,木村　岳裕,全学生（総合教育部学生優先）,25,11,2,10,1,0,0,0
72F0ia.314,ＧＳ科目,エクササイズ&スポーツ実技トレーニング（発展）,月4,木村　岳裕,全学生（総合教育部学生優先）,20,2,0,0,1,1,0,0
72F0ka.333,ＧＳ科目,エクササイズ&スポーツ実技バドミントン,水3,村山　孝之,全学生（総合教育部学生優先）,24,37,7,28,9,0,0,0
72F0ka.334,ＧＳ科目,エクササイズ&スポーツ実技バドミントン,水4,村山　孝之,全学生（総合教育部学生優先）,18,19,5,16,3,0,0,0
72F0o.331,ＧＳ科目,エクササイズ&スポーツ実技フィットネス,水1,芝口　翼,全学生（総合教育部学生優先）,24,9,1,6,2,0,0,1
72F0sa.332,ＧＳ科目,エクササイズ&スポーツ実技ヨガ,水2,藤谷　かおる,全学生（総合教育部学生優先）,15,18,2,15,2,1,0,0
72F0za.341,ＧＳ科目,エクササイズ&スポーツ実技テニス（基礎）,木1,芝口　翼,全学生（総合教育部学生優先）,32,6,0,6,0,0,0,0
72F0zad.31,ＧＳ科目,エクササイズ&スポーツ実技バスケットボール（基礎）,月3,野中　雄大,全学生（総合教育部学生優先）,30,7,1,5,1,1,0,0
72F0zad.32,ＧＳ科目,エクササイズ&スポーツ実技バスケットボール（基礎）,火2,野中　雄大,全学生（総合教育部学生優先）,30,6,0,6,0,0,0,0
72F0zae.32,ＧＳ科目,エクササイズ&スポーツ実技バスケットボール（発展）,火4,野中　雄大,全学生（総合教育部学生優先）,30,1,0,1,0,0,0,0
72F0zag.34,ＧＳ科目,エクササイズ&スポーツ実技テニス,木2,芝口　翼,全学生（総合教育部学生優先）,32,13,3,11,1,0,0,1
73302.01,自由履修科目,ゼミ／角間の里山づくり秋編,水4,佐川　哲也,全学生,15,27,8,25,1,1,0,0
73303,自由履修科目,コーヒーと社会,火3,玉井　郁巳,全学生,100,137,49,119,16,2,0,0
73505.02,自由履修科目,地学実験,金3〜4,塚脇　真二,全学生,18,4,1,4,0,0,0,0
73616.01,自由履修科目,環境動態学概説Ⅰ,水1,塚脇　真二,全学生（国際学類をのぞく）,35,2,1,2,0,0,0,0
73621.01,自由履修科目,Pythonデータ分析入門,金3,東　昭孝,全学生,40,11,4,9,2,0,0,0
73622,自由履修科目,プレゼンテーション演習A,水5,森　祥寛,全学生,18,1,0,0,1,0,0,0
73642,自由履修科目,現代社会における保険の制度と役割Ⅰ,水4,村上　裕,２年次以上限定,50,3,1,3,0,0,0,0
73647,自由履修科目,文芸創作実践,金4,杉山　欣也,全学生（「超然文学賞」受賞者優先）,20,9,1,8,1,0,0,0
73654.03,自由履修科目,比較文化,火4,吉永　契一郎,全学生,36,7,1,7,0,0,0,0
73655.03,自由履修科目,高等教育研究,木4,吉永　契一郎,全学生,36,1,0,1,0,0,0,0
73669,自由履修科目,地域創造プロジェクト講義C,火3,田邊　浩,全学生（地域創造学類以外）（2022年度以降入学者履修登録用）,200,6,0,4,1,1,0,0
73681,自由履修科目,ローカルキャリアデザインⅡ,木5,佐川　哲也,全学生（地域創造学類優先，次いで融合学域・人文学類・法学類・経済学類・国際学類優先）,16,3,2,3,0,0,0,0
73701.01,自由履修科目,ピアノ教育の社会史,木3,吉永　契一郎,履修条件あり（ピアノ経験者）,36,11,0,7,4,0,0,0
73703,自由履修科目,北陸地域デザイン学,金4,篠田　隆行,全学生,150,13,2,13,0,0,0,0
73705,自由履修科目,シェルスクリプトを用いた「ものグラミング」演習B,金1,大野　浩之,全学生,18,5,1,5,0,0,0,0
73707,自由履修科目,シェルスクリプトを用いた「大規模データ処理」演習B,金2,大野　浩之,全学生,18,5,0,5,0,0,0,0
73712,自由履修科目,Unityゲーム開発演習,火3,東　昭孝,全学生,40,28,7,25,3,0,0,0
73716,自由履修科目,地域史料から描きなおす日本史,金3,上田　長生,全学生,50,15,6,15,0,0,0,0
73722,自由履修科目,数について,木2,岩瀨　順一,全学生,87,8,1,6,2,0,0,0
73B00a.314,ＧＳ科目,クリティカル・シンキング,月5,入江　浩司,全学生（総合教育部学生優先）,95,44,7,32,12,0,0,0
73B00a.345,ＧＳ科目,クリティカル・シンキング,木5,髙山　知明,全学生（総合教育部学生優先）,95,26,1,26,0,0,0,0
73B00a.353,ＧＳ科目,クリティカル・シンキング,月2,髙谷　掌子,全学生（総合教育部学生優先）,95,37,1,26,9,2,0,0
73B00a.354,ＧＳ科目,クリティカル・シンキング,月3,髙谷　掌子,全学生（総合教育部学生優先）,95,58,5,28,22,5,2,1
73C00a.311,ＧＳ科目,価値と情動の認知科学,月1,松井　三枝,全学生（総合教育部学生優先）,99,115,19,115,0,0,0,0
73C00a.322,ＧＳ科目,価値と情動の認知科学,火2,谷内　通,全学生（総合教育部学生優先）,99,67,14,57,6,4,0,0
73C00a.331,ＧＳ科目,価値と情動の認知科学,水1,松井　三枝,全学生（総合教育部学生優先）,99,121,22,111,8,1,1,0
73E00a.313,ＧＳ科目,芸術と自己表現,月3,浅井　暁子,全学生（総合教育部学生優先）,75,118,22,86,24,7,1,0
73E00a.332,ＧＳ科目,芸術と自己表現,水2,江藤　望,全学生（総合教育部学生優先）,75,114,32,95,19,0,0,0
73F0aa.355,ＧＳ科目,スポーツ科学健康教育入門Ⅰ,金5,岩田　英樹,全学生（総合教育部学生優先）,50,37,2,32,5,0,0,0
73F0ga.324,ＧＳ科目,スポーツ科学メンタルトレーニングⅠ,火4,村山　孝之,全学生（総合教育部学生優先）,80,125,32,111,13,1,0,0
73F0m.334,ＧＳ科目,スポーツ科学身体運動の神経制御Ⅰ,水4,木村　岳裕,全学生（総合教育部学生優先）,75,85,16,70,12,3,0,0
73F0pa.333,ＧＳ科目,スポーツ科学スポーツ生理学入門I,水3,芝口　翼,全学生（総合教育部学生優先）,80,66,11,46,12,7,1,0
74125.301,ＧＳ言語科目,TOEIC準備（演習）,火5,澤田　茂保,未履修または「放棄」の２年生以上限定,40,11,4,10,1,0,0,0
74125.302,ＧＳ言語科目,TOEIC準備（演習）,木5,數見　由紀子,未履修または「放棄」の２年生以上限定,40,8,2,8,0,0,0,0
74135.301,ＧＳ言語科目,EAP（Retake）,月5,大藪　加奈,２年生以上限定・未修得者のみ・３～４年生優先,40,10,5,10,0,0,0,0
74135.302,ＧＳ言語科目,EAP（Retake）,火3,菅野　磨美,２年生以上限定・未修得者のみ・３～４年生優先,40,13,2,13,0,0,0,0
74135.303,ＧＳ言語科目,EAP（Retake）,火5,家口　美智子,２年生以上限定・未修得者のみ・３～４年生優先,40,12,4,12,0,0,0,0
74135.304,ＧＳ言語科目,EAP（Retake）,木4,森川　智成,２年生以上限定・未修得者のみ・３～４年生優先,40,7,1,7,0,0,0,0
74143.013,自由履修科目,英語セミナー,木3,西嶋　愉一,全学生,20,0,0,0,0,0,0,0
74213.020,言語科目Ａ,ドイツ語Ａ３,水4,早川　文人,全学生,30,2,1,2,0,0,0,0
74213.A01,言語科目Ａ,ドイツ語Ａ３,木3,佐藤　文彦,１年人文，国際優先,30,16,0,16,0,0,0,0
74213.A02,言語科目Ａ,ドイツ語Ａ３,木3,志村　恵,１年人文，国際優先,30,11,0,11,0,0,0,0
74213.A03,言語科目Ａ,ドイツ語Ａ３,火3,早川　文人,１年人文，国際優先,30,18,0,18,0,0,0,0
74213.B01,言語科目Ａ,ドイツ語Ａ３,火2,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
74213.B02,言語科目Ａ,ドイツ語Ａ３,火2,早川　文人,１年法優先,30,29,0,29,0,0,0,0
74213.B03,言語科目Ａ,ドイツ語Ａ３,木3,髙橋　麻帆,１年法優先,30,23,0,23,0,0,0,0
74213.C01,言語科目Ａ,ドイツ語Ａ３,木4,早川　文人,１年先導，観光デザイン，経済，地域，総合（文）優先,30,26,0,26,0,0,0,0
74213.C02,言語科目Ａ,ドイツ語Ａ３,木4,髙橋　麻帆,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
74213.C03,言語科目Ａ,ドイツ語Ａ３,水3,田中　まり,１年先導，観光デザイン，経済，地域，総合（文）優先,30,19,0,19,0,0,0,0
74214.026,言語科目Ａ,ドイツ語Ａ４,水5,KLACANSKAJANA,全学生,30,2,1,2,0,0,0,0
74214.A01,言語科目Ａ,ドイツ語Ａ４,火3,KLACANSKAJANA,１年人文，国際優先,30,15,0,15,0,0,0,0
74214.A02,言語科目Ａ,ドイツ語Ａ４,火3,THELENTIMO,１年人文，国際優先,30,11,0,11,0,0,0,0
74214.A03,言語科目Ａ,ドイツ語Ａ４,木3,THELENTIMO,１年人文，国際優先,30,21,0,21,0,0,0,0
74214.B01,言語科目Ａ,ドイツ語Ａ４,木3,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
74214.B02,言語科目Ａ,ドイツ語Ａ４,木3,KLACANSKAJANA,１年法優先,30,29,0,29,0,0,0,0
74214.B03,言語科目Ａ,ドイツ語Ａ４,火2,KLACANSKAJANA,１年法優先,30,23,0,23,0,0,0,0
74214.C01,言語科目Ａ,ドイツ語Ａ４,水3,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,25,0,25,0,0,0,0
74214.C02,言語科目Ａ,ドイツ語Ａ４,水3,BITTMANNHEIKO,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
74214.C03,言語科目Ａ,ドイツ語Ａ４,木4,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,21,0,20,1,0,0,0
7421e.021,言語科目Ａ,ドイツ語Ａ３－１,水4,早川　文人,全学生,30,2,1,2,0,0,0,0
7421e.A01,言語科目Ａ,ドイツ語Ａ３－１,木3,佐藤　文彦,１年人文，国際優先,30,16,0,16,0,0,0,0
7421e.A02,言語科目Ａ,ドイツ語Ａ３－１,木3,志村　恵,１年人文，国際優先,30,11,0,11,0,0,0,0
7421e.A03,言語科目Ａ,ドイツ語Ａ３－１,火3,早川　文人,１年人文，国際優先,30,18,0,18,0,0,0,0
7421e.B01,言語科目Ａ,ドイツ語Ａ３－１,火2,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
7421e.B02,言語科目Ａ,ドイツ語Ａ３－１,火2,早川　文人,１年法優先,30,29,0,29,0,0,0,0
7421e.B03,言語科目Ａ,ドイツ語Ａ３－１,木3,髙橋　麻帆,１年法優先,30,23,0,23,0,0,0,0
7421e.C01,言語科目Ａ,ドイツ語Ａ３－１,木4,早川　文人,１年先導，観光デザイン，経済，地域，総合（文）優先,30,26,0,26,0,0,0,0
7421e.C02,言語科目Ａ,ドイツ語Ａ３－１,木4,髙橋　麻帆,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
7421e.C03,言語科目Ａ,ドイツ語Ａ３－１,水3,田中　まり,１年先導，観光デザイン，経済，地域，総合（文）優先,30,19,0,19,0,0,0,0
7421g.027,言語科目Ａ,ドイツ語Ａ４－１,水5,KLACANSKAJANA,全学生,30,2,1,2,0,0,0,0
7421g.A01,言語科目Ａ,ドイツ語Ａ４－１,火3,KLACANSKAJANA,１年人文，国際優先,30,15,0,15,0,0,0,0
7421g.A02,言語科目Ａ,ドイツ語Ａ４－１,火3,THELENTIMO,１年人文，国際優先,30,11,0,11,0,0,0,0
7421g.A03,言語科目Ａ,ドイツ語Ａ４－１,木3,THELENTIMO,１年人文，国際優先,30,21,0,21,0,0,0,0
7421g.B01,言語科目Ａ,ドイツ語Ａ４－１,木3,仲正　昌樹,１年法優先,30,6,0,6,0,0,0,0
7421g.B02,言語科目Ａ,ドイツ語Ａ４－１,木3,KLACANSKAJANA,１年法優先,30,29,0,29,0,0,0,0
7421g.B03,言語科目Ａ,ドイツ語Ａ４－１,火2,KLACANSKAJANA,１年法優先,30,23,0,23,0,0,0,0
7421g.C01,言語科目Ａ,ドイツ語Ａ４－１,水3,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,25,0,25,0,0,0,0
7421g.C02,言語科目Ａ,ドイツ語Ａ４－１,水3,BITTMANNHEIKO,１年先導，観光デザイン，経済，地域，総合（文）優先,30,12,0,12,0,0,0,0
7421g.C03,言語科目Ａ,ドイツ語Ａ４－１,木4,KLACANSKAJANA,１年先導，観光デザイン，経済，地域，総合（文）優先,30,21,0,20,1,0,0,0
74230.043,言語科目Ｃ,ドイツ語Ｃ,月4,THELENTIMO,２年以上限定,30,0,0,0,0,0,0,0
74230.049,言語科目Ｃ,ドイツ語Ｃ,木2,R.ライヒェルト,２年以上限定,30,0,0,0,0,0,0,0
7423a.044,言語科目Ｃ,ドイツ語Ｃ－１,月4,THELENTIMO,２年以上限定,30,0,0,0,0,0,0,0
7423a.050,言語科目Ｃ,ドイツ語Ｃ－１,木2,R.ライヒェルト,２年以上限定,30,0,0,0,0,0,0,0
74313.019,言語科目Ａ,フランス語Ａ３,木6,佐藤　朋子,全学生,30,1,0,1,0,0,0,0
74313.A01,言語科目Ａ,フランス語Ａ３,火2,阪上　るり子,１年人文，法，国際優先,30,16,0,16,0,0,0,0
74313.A02,言語科目Ａ,フランス語Ａ３,火2,岩津　航,１年人文，法，国際優先,30,28,0,28,0,0,0,0
74313.A03,言語科目Ａ,フランス語Ａ３,木3,岩津　航,１年人文，法，国際優先,30,22,0,22,0,0,0,0
74313.A04,言語科目Ａ,フランス語Ａ３,木4,南　コニー,1年先導，観光デザイン，経済，地域，総合（文）優先,30,20,0,20,0,0,0,0
74313.A05,言語科目Ａ,フランス語Ａ３,木4,佐藤　朋子,1年先導，観光デザイン，経済，地域，総合（文）優先,30,27,0,27,0,0,0,0
74314.031,言語科目Ａ,フランス語Ａ４,水5,佐藤　朋子,全学生,30,2,0,2,0,0,0,0
74314.A01,言語科目Ａ,フランス語Ａ４,木3,阪上　るり子,１年人文，法，国際優先,30,16,0,16,0,0,0,0
74314.A02,言語科目Ａ,フランス語Ａ４,木3,佐藤　朋子,１年人文，法，国際優先,30,30,0,30,0,0,0,0
74314.A03,言語科目Ａ,フランス語Ａ４,火2,佐藤　朋子,１年人文，法，国際優先,30,23,0,23,0,0,0,0
74314.A04,言語科目Ａ,フランス語Ａ４,水3,MENOULOICHENRIPAUL,1年先導，観光デザイン，経済，地域，総合（文）優先,30,18,0,18,0,0,0,0
74314.A05,言語科目Ａ,フランス語Ａ４,水3,佐藤　朋子,1年先導，観光デザイン，経済，地域，総合（文）優先,30,28,0,28,0,0,0,0
7431e.020,言語科目Ａ,フランス語Ａ３－１,木6,佐藤　朋子,全学生,30,1,0,1,0,0,0,0
7431e.A01,言語科目Ａ,フランス語Ａ３－１,火2,阪上　るり子,１年人文，法，国際優先,30,16,0,16,0,0,0,0
7431e.A02,言語科目Ａ,フランス語Ａ３－１,火2,岩津　航,１年人文，法，国際優先,30,28,0,28,0,0,0,0
7431e.A03,言語科目Ａ,フランス語Ａ３－１,木3,岩津　航,１年人文，法，国際優先,30,22,0,22,0,0,0,0
7431e.A04,言語科目Ａ,フランス語Ａ３－１,木4,南　コニー,1年先導，観光デザイン，経済，地域，総合（文）優先,30,20,0,20,0,0,0,0
7431e.A05,言語科目Ａ,フランス語Ａ３－１,木4,佐藤　朋子,1年先導，観光デザイン，経済，地域，総合（文）優先,30,27,0,27,0,0,0,0
7431g.032,言語科目Ａ,フランス語Ａ４－１,水5,佐藤　朋子,全学生,30,2,0,2,0,0,0,0
7431g.A01,言語科目Ａ,フランス語Ａ４－１,木3,阪上　るり子,１年人文，法，国際優先,30,16,0,16,0,0,0,0
7431g.A02,言語科目Ａ,フランス語Ａ４－１,木3,佐藤　朋子,１年人文，法，国際優先,30,30,0,30,0,0,0,0
7431g.A03,言語科目Ａ,フランス語Ａ４－１,火2,佐藤　朋子,１年人文，法，国際優先,30,23,0,23,0,0,0,0
7431g.A04,言語科目Ａ,フランス語Ａ４－１,水3,MENOULOICHENRIPAUL,1年先導，観光デザイン，経済，地域，総合（文）優先,30,18,0,18,0,0,0,0
7431g.A05,言語科目Ａ,フランス語Ａ４－１,水3,佐藤　朋子,1年先導，観光デザイン，経済，地域，総合（文）優先,30,28,0,28,0,0,0,0
74320.053,言語科目Ｂ,フランス語Ｂ,火5,岩津　航,２年以上限定,30,0,0,0,0,0,0,0
7432a.054,言語科目Ｂ,フランス語Ｂ－１,火5,岩津　航,２年以上限定,30,0,0,0,0,0,0,0
